,id,filename,topic,iteration,buf_size
34994,uark8675aesirpresence13_87599_925182400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
34995,uark8675aesirpresence12_87599_971981600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
34996,uark8675aesirpresence11_87600_97089000,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
34997,uark8675aesirpresence11_87601_111281900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
34998,uark8675aesirpresence52_87601_881061500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence52,8,192
34999,uark8675aesirpresence31_87601_896701200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence31,8,192
35000,uark8675aesirpresence14_87601_927895200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence14,8,192
35001,uark8675aesirpresence12_87601_974793300,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35002,uark8675aesirpresence11_87602_115965400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35003,uark8675aesirpresence24_87602_887490900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence24,8,192
35004,uark8675aesirpresence15_87602_887993600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence15,8,192
35005,uark8675aesirpresence35_87602_888231800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence35,8,192
35006,uark8675aesirpresence13_87602_934121800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35007,uark8675aesirpresence11_87603_120645200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35008,uark8675aesirpresence53_87603_861020500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence53,8,192
35009,uark8675aesirpresence12_87603_988550600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35010,uark8675aesirpresence11_87604_125077600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35011,uark8675aesirpresence11_87605_136911800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35012,uark8675aesirpresence54_87605_859123600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence54,8,192
35013,uark8675aesirpresence41_87605_875787100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence41,8,192
35014,uark8675aesirpresence32_87605_876032200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence32,8,192
35015,uark8675aesirpresence23_87605_890429200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence23,8,192
