,id,filename,topic,iteration,duration
0,uark8675aesirpresence11_52531_399988900,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
1,uark8675aesirpresence12_52532_401713500,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
2,uark8675aesirpresence11_52532_402513400,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
3,uark8675aesirpresence13_52533_392614000,emitter_naive_15_103123_1.csv,uark8675aesirpresence13,1,15
4,uark8675aesirpresence11_52533_408402900,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
5,uark8675aesirpresence14_52534_399066800,emitter_naive_15_103123_1.csv,uark8675aesirpresence14,1,15
6,uark8675aesirpresence12_52534_414439800,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
7,uark8675aesirpresence11_52534_415554100,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
8,uark8675aesirpresence15_52535_390078700,emitter_naive_15_103123_1.csv,uark8675aesirpresence15,1,15
9,uark8675aesirpresence11_52535_422249700,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
10,uark8675aesirpresence21_52536_395004200,emitter_naive_15_103123_1.csv,uark8675aesirpresence21,1,15
11,uark8675aesirpresence13_52536_395745600,emitter_naive_15_103123_1.csv,uark8675aesirpresence13,1,15
12,uark8675aesirpresence12_52536_426151200,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
13,uark8675aesirpresence11_52536_426925800,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
14,uark8675aesirpresence22_52537_400154200,emitter_naive_15_103123_1.csv,uark8675aesirpresence22,1,15
15,uark8675aesirpresence11_52537_431382700,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
16,uark8675aesirpresence23_52538_401031300,emitter_naive_15_103123_1.csv,uark8675aesirpresence23,1,15
17,uark8675aesirpresence14_52538_401472700,emitter_naive_15_103123_1.csv,uark8675aesirpresence14,1,15
18,uark8675aesirpresence12_52538_432383300,emitter_naive_15_103123_1.csv,uark8675aesirpresence12,1,15
19,uark8675aesirpresence11_52538_432805800,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
20,uark8675aesirpresence24_52539_404479300,emitter_naive_15_103123_1.csv,uark8675aesirpresence24,1,15
21,uark8675aesirpresence13_52539_405090300,emitter_naive_15_103123_1.csv,uark8675aesirpresence13,1,15
22,uark8675aesirpresence11_52539_435503000,emitter_naive_15_103123_1.csv,uark8675aesirpresence11,1,15
23,uark8675aesirpresence15_52540_390600500,emitter_naive_15_103123_1.csv,uark8675aesirpresence15,1,15
